"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SAEX","SAExploration Holdings, Inc.","4.86","45482450.94","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/saex",
"SAFT","Safety Insurance Group, Inc.","69.9","1063813272.6","n/a","2002","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/saft",
"SAGE","Sage Therapeutics, Inc.","70.05","2614843001.85","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sage",
"SAIA","Saia, Inc.","45.35","1153999455.25","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/saia",
"SAJA","Sajan, Inc.","5.7","27339383.1","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/saja",
"SALM","Salem Media Group, Inc.","7.3","189887731.4","n/a","1999","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/salm",
"SAL","Salisbury Bancorp, Inc.","39.5","109424322","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/sal",
"SAFM","Sanderson Farms, Inc.","115.92","2636075862","n/a","1987","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/safm",
"SASR","Sandy Spring Bancorp, Inc.","43.58","1042876590.7","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sasr",
"SGMO","Sangamo Therapeutics, Inc.","4.6","330208962.2","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/sgmo",
"SANM","Sanmina Corporation","36.2","2734358782.6","n/a","1993","Technology","Electrical Products","http://www.nasdaq.com/symbol/sanm",
"GCVRZ","Sanofi","0.448","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gcvrz",
"SPNS","Sapiens International Corporation N.V.","12.36","606084354.36","n/a","1992","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/spns",
"SRPT","Sarepta Therapeutics, Inc.","33.4","1835147001.4","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/srpt",
"SVRA","Savara, Inc.","5.77","86946491.32","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/svra",
"SBFG","SB Financial Group, Inc.","17.35","84539054.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbfg",
"SBFGP","SB Financial Group, Inc.","16","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbfgp",
"SBAC","SBA Communications Corporation","128.19","15542310149.94","n/a","1999","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/sbac",
"SCSC","ScanSource, Inc.","39.8","1005055151.6","n/a","n/a","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/scsc",
"SMIT","Schmitt Industries, Inc.","1.6401","4913591.991","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/smit",
"SCHN","Schnitzer Steel Industries, Inc.","18.35","496217525.45","n/a","1993","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/schn",
"SCHL","Scholastic Corporation","43.42","1512153126.38","n/a","1992","Consumer Services","Books","http://www.nasdaq.com/symbol/schl",
"SCLN","SciClone Pharmaceuticals, Inc.","9.7","501354752.9","n/a","1992","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/scln",
"SGMS","Scientific Games Corp","22.9","2018198709.2","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/sgms",
"SNI","Scripps Networks Interactive, Inc","70.2","9105549476.4","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/sni",
"SCYX","SCYNEXIS, Inc.","2.63","67325246.39","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/scyx",
"SEAC","SeaChange International, Inc.","2.59","91458740.45","n/a","1996","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/seac",
"SBCF","Seacoast Banking Corporation of Florida","24.03","978733633.68","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbcf",
"STX","Seagate Technology PLC","42.58","12630396522.94","n/a","2002","Technology","Electronic Components","http://www.nasdaq.com/symbol/stx",
"SHIP","Seanergy Maritime Holdings Corp","0.746","26784231.07","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/ship",
"SHIPW","Seanergy Maritime Holdings Corp","0.14","0","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/shipw",
"SRSC","Sears Canada Inc. ","0.89","90671119.18","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/srsc",
"SHLD","Sears Holdings Corporation","10.38","1112227774.44","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/shld",
"SHLDW","Sears Holdings Corporation","3.02","0","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/shldw",
"SHOS","Sears Hometown and Outlet Stores, Inc.","3.4","77234848.8","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/shos",
"SPNE","SeaSpine Holdings Corporation","7.54","88498721.74","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/spne",
"SGEN","Seattle Genetics, Inc.","63.74","9091048740.66","n/a","2001","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/sgen",
"EYES","Second Sight Medical Products, Inc.","1.19","67075098.51","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/eyes",
"EYESW","Second Sight Medical Products, Inc.","0.4","0","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/eyesw",
"SCWX","SecureWorks Corp.","8.87","714621741.63","n/a","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/scwx",
"SNFCA","Security National Financial Corporation","6.6","103763239.8","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/snfca",
"SEIC","SEI Investments Company","51.14","8116419376.56","n/a","1981","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/seic",
"SLCT","Select Bancorp, Inc.","11.73","136778497.83","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/slct",
"SCSS","Select Comfort Corporation","30.94","1289455440","n/a","1998","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/scss",
"SIR","Select Income REIT","23.93","2140008905.17","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/sir",
"SELB","Selecta Biosciences, Inc.","12.62","234494769.24","n/a","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/selb",
"SIGI","Selective Insurance Group, Inc.","50.9","2964830326","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/sigi",
"LEDS","SemiLEDS Corporation","2.9","10207028.5","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/leds",
"SMTC","Semtech Corporation","33.95","2239808710.65","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/smtc",
"SENEA","Seneca Foods Corp.","36.55","356691486.55","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/senea",
"SENEB","Seneca Foods Corp.","39","380601039","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/seneb",
"SNES","SenesTech, Inc.","6.58","66859656.36","n/a","2016","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/snes",
"SNH","Senior Housing Properties Trust","20.85","4952802387.15","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/snh",
"SNHNI","Senior Housing Properties Trust","24.34","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/snhni",
"SNHNL","Senior Housing Properties Trust","26.24","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/snhnl",
"SNMX","Senomyx, Inc.","0.8647","41085557.2751","n/a","2004","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/snmx",
"SRTS","Sensus Healthcare, Inc.","4.1948","56743764.3264","n/a","2016","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/srts",
"SRTSW","Sensus Healthcare, Inc.","0.62","0","n/a","2016","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/srtsw",
"SQBG","Sequential Brands Group, Inc.","3.69","231953543.91","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/sqbg",
"MCRB","Seres Therapeutics, Inc.","10.56","426287431.68","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/mcrb",
"SREV","ServiceSource International, Inc.","3.7","327508071.5","n/a","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/srev",
"SFBS","ServisFirst Bancshares, Inc.","38.66","2041727229.36","n/a","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/sfbs",
"SEV","Sevcon, Inc.","12.54","66988592.22","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/sev",
"SVBI","Severn Bancorp Inc","7.06","85602252.9","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/svbi",
"SGOC","SGOCO Group, Ltd","1.55","15701611.6","n/a","2010","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sgoc",
"SMED","Sharps Compliance Corp","4.33","69223090.81","n/a","n/a","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/smed",
"SHSP","SharpSpring, Inc.","4.3564","36469807.3508","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/shsp",
"SHEN","Shenandoah Telecommunications Co","31.15","1529395255.15","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/shen",
"PIXY","ShiftPixy, Inc.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pixy",
"SHLO","Shiloh Industries, Inc.","12.24","218336581.44","n/a","1993","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/shlo",
"SCCI","Shimmick Construction Company, Inc.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/scci",
"TYHT","Shineco, Inc.","4.23","88974124.56","n/a","2016","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/tyht",
"SHPG","Shire plc","180.25","14817444941.25","82204965","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/shpg",
"SCVL","Shoe Carnival, Inc.","22.13","391539141.18","n/a","1993","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/scvl",
"SHBI","Shore Bancshares Inc","16.59","210239678.25","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/shbi",
